date and time,temperature,humidity,wind speed,cloud cover,amount of precipitation
15.12.2019 13:00,8.9,37,10,70 – 80%.,
15.12.2019 10:00,8.3,52,11,70 – 80%.,
15.12.2019 07:00,6.7,58,9,70 – 80%.,
15.12.2019 04:00,6.7,60,7,100%.,
15.12.2019 01:00,7.2,61,10,70 – 80%.,
14.12.2019 22:00,8.9,63,9,70 – 80%.,
14.12.2019 19:00,11.1,77,8,70 – 80%.,1.0
14.12.2019 16:00,11.7,93,5,100%.,0.3
14.12.2019 13:00,11.7,93,3,100%.,1.0
14.12.2019 10:00,10.6,96,0,,1.0
14.12.2019 07:00,9.4,97,2,,22.0
14.12.2019 04:00,9.4,93,7,100%.,18.0
14.12.2019 01:00,8.3,93,9,100%.,24.0
13.12.2019 22:00,8.3,90,8,100%.,8.0
13.12.2019 19:00,7.2,90,6,100%.,6.0
13.12.2019 16:00,6.1,89,6,100%.,0.5
13.12.2019 13:00,6.1,80,4,100%.,
13.12.2019 10:00,5.6,76,5,100%.,
13.12.2019 07:00,2.8,73,3,70 – 80%.,
13.12.2019 04:00,2.2,76,3,100%.,
13.12.2019 01:00,0.6,64,3,70 – 80%.,
12.12.2019 22:00,1.1,52,2,70 – 80%.,
12.12.2019 19:00,0.6,42,3,70 – 80%.,
12.12.2019 16:00,2.2,31,4,70 – 80%.,
12.12.2019 13:00,1.1,31,2,50%.,
12.12.2019 10:00,-0.6,38,5,70 – 80%.,
12.12.2019 07:00,-2.2,47,7,no clouds,
12.12.2019 04:00,-1.1,51,4,no clouds,
12.12.2019 01:00,0.6,43,8,no clouds,
11.12.2019 22:00,1.1,42,9,20–30%.,
11.12.2019 19:00,2.8,42,11,20–30%.,
11.12.2019 16:00,3.3,60,7,70 – 80%.,
11.12.2019 13:00,2.2,64,2,100%.,0.8
11.12.2019 10:00,0.6,85,2,100%.,0.8
11.12.2019 07:00,0.6,92,5,100%.,6.0
11.12.2019 04:00,2.2,86,5,100%.,2.0
11.12.2019 01:00,4.4,79,6,100%.,1.0
10.12.2019 22:00,7.8,58,7,100%.,0.8
10.12.2019 19:00,12.8,69,6,100%.,2.0
10.12.2019 16:00,13.9,78,7,100%.,2.0
10.12.2019 13:00,13.3,81,6,100%.,1.0
10.12.2019 10:00,14.4,78,6,100%.,
10.12.2019 07:00,13.3,84,2,70 – 80%.,
10.12.2019 04:00,14.4,81,5,100%.,
10.12.2019 01:00,13.3,84,5,100%.,10.0
09.12.2019 22:00,12.8,87,9,100%.,9.0
09.12.2019 19:00,11.1,89,4,100%.,17.0
09.12.2019 16:00,12.2,87,3,100%.,3.0
09.12.2019 13:00,12.8,87,4,100%.,14.0
09.12.2019 10:00,11.7,89,2,100%.,12.0
09.12.2019 07:00,6.1,89,5,100%.,4.0
09.12.2019 04:00,5.6,89,3,100%.,0.8
09.12.2019 01:00,6.1,80,2,100%.,0.3
08.12.2019 22:00,6.1,65,0,70 – 80%.,
08.12.2019 19:00,5.0,62,3,70 – 80%.,
08.12.2019 16:00,5.0,53,7,70 – 80%.,
08.12.2019 13:00,4.4,43,3,70 – 80%.,
08.12.2019 10:00,1.1,48,4,70 – 80%.,
08.12.2019 07:00,-2.2,60,4,50%.,
08.12.2019 04:00,-1.7,56,0,no clouds,
08.12.2019 01:00,-0.6,52,2,no clouds,
07.12.2019 22:00,0.6,47,5,no clouds,
07.12.2019 19:00,2.2,46,6,20–30%.,
07.12.2019 16:00,3.3,39,7,20–30%.,
07.12.2019 13:00,3.3,41,9,70 – 80%.,
07.12.2019 10:00,1.7,52,9,70 – 80%.,
07.12.2019 07:00,1.1,54,7,70 – 80%.,
07.12.2019 04:00,2.2,57,6,20–30%.,
07.12.2019 01:00,3.3,52,5,no clouds,
06.12.2019 22:00,6.1,47,8,20–30%.,
06.12.2019 19:00,10.0,46,7,100%.,Trace of precipitation
06.12.2019 16:00,10.0,38,6,100%.,Trace of precipitation
06.12.2019 13:00,7.2,44,6,100%.,
06.12.2019 10:00,5.0,49,5,100%.,
06.12.2019 07:00,3.3,48,5,100%.,
06.12.2019 01:00,3.3,52,10,70 – 80%.,
05.12.2019 22:00,3.9,48,7,70 – 80%.,
05.12.2019 19:00,4.4,49,6,20–30%.,
05.12.2019 16:00,5.0,47,9,70 – 80%.,
05.12.2019 13:00,6.1,42,11,50%.,
05.12.2019 10:00,5.6,58,8,70 – 80%.,
05.12.2019 07:00,3.9,70,4,50%.,
05.12.2019 04:00,3.9,73,7,70 – 80%.,
05.12.2019 01:00,3.3,76,6,100%.,Trace of precipitation
04.12.2019 22:00,3.9,76,7,100%.,Trace of precipitation
04.12.2019 19:00,4.4,65,7,100%.,
04.12.2019 16:00,4.4,63,5,100%.,
04.12.2019 13:00,3.9,67,4,100%.,
04.12.2019 10:00,3.3,73,3,100%.,
04.12.2019 07:00,2.8,67,5,100%.,
04.12.2019 04:00,1.7,67,3,100%.,
04.12.2019 01:00,1.1,64,5,70 – 80%.,
03.12.2019 22:00,1.1,61,8,50%.,
03.12.2019 19:00,1.7,57,9,50%.,
03.12.2019 16:00,3.3,57,8,50%.,
03.12.2019 13:00,2.8,54,13,20–30%.,
03.12.2019 10:00,0.6,70,9,50%.,
03.12.2019 07:00,0.0,75,7,100%.,Trace of precipitation
03.12.2019 04:00,0.6,75,9,100%.,Trace of precipitation
03.12.2019 01:00,0.6,82,7,100%.,0.8
02.12.2019 22:00,1.1,82,11,100%.,0.3
02.12.2019 19:00,1.7,85,7,100%.,4.0
02.12.2019 16:00,1.7,89,7,100%.,4.0
02.12.2019 13:00,1.7,89,6,100%.,4.0
02.12.2019 10:00,2.8,86,6,100%.,2.0
02.12.2019 07:00,2.8,86,6,100%.,1.0
02.12.2019 04:00,3.3,86,7,100%.,Trace of precipitation
02.12.2019 01:00,3.9,86,12,100%.,2.0
01.12.2019 22:00,3.9,89,12,100%.,2.0
01.12.2019 19:00,4.4,86,10,100%.,12.0
01.12.2019 16:00,2.2,86,8,100%.,3.0
01.12.2019 13:00,1.1,82,10,100%.,0.3
01.12.2019 10:00,0.6,61,3,70 – 80%.,Trace of precipitation
01.12.2019 07:00,-1.1,49,5,70 – 80%.,
01.12.2019 04:00,-0.6,49,6,70 – 80%.,
01.12.2019 01:00,0.6,42,4,70 – 80%.,
30.11.2019 22:00,2.2,44,3,50%.,
30.11.2019 19:00,4.4,40,4,70 – 80%.,
30.11.2019 16:00,6.1,28,3,70 – 80%.,
30.11.2019 13:00,5.6,32,3,70 – 80%.,
30.11.2019 10:00,2.2,44,4,50%.,
30.11.2019 07:00,0.0,61,6,50%.,
30.11.2019 04:00,1.1,59,5,70 – 80%.,
30.11.2019 01:00,2.2,55,5,100%.,
29.11.2019 22:00,2.2,57,5,70 – 80%.,
29.11.2019 19:00,3.3,57,5,70 – 80%.,
29.11.2019 16:00,5.6,47,7,50%.,
29.11.2019 13:00,3.9,48,7,70 – 80%.,
29.11.2019 10:00,1.7,57,6,70 – 80%.,
29.11.2019 07:00,0.0,64,6,70 – 80%.,
29.11.2019 04:00,1.1,61,7,20–30%.,
29.11.2019 01:00,3.3,60,9,70 – 80%.,
28.11.2019 22:00,4.4,60,9,20–30%.,
28.11.2019 19:00,5.6,60,8,20–30%.,
28.11.2019 16:00,8.3,52,12,20–30%.,
28.11.2019 13:00,9.4,56,12,70 – 80%.,
28.11.2019 10:00,10.0,48,12,70 – 80%.,
28.11.2019 07:00,8.3,50,11,50%.,
28.11.2019 04:00,8.9,44,6,50%.,
28.11.2019 01:00,11.7,40,11,70 – 80%.,0.3
27.11.2019 22:00,14.4,72,6,70 – 80%.,
27.11.2019 19:00,13.9,69,6,100%.,0.3
27.11.2019 16:00,12.8,74,9,100%.,Trace of precipitation
27.11.2019 13:00,13.9,81,4,100%.,
27.11.2019 10:00,11.1,83,3,100%.,
27.11.2019 07:00,8.9,86,2,100%.,
27.11.2019 04:00,8.3,80,3,70 – 80%.,
27.11.2019 01:00,11.1,64,3,100%.,
26.11.2019 22:00,12.2,57,3,70 – 80%.,
26.11.2019 19:00,11.7,72,2,20–30%.,
26.11.2019 16:00,14.4,51,4,20–30%.,
26.11.2019 13:00,15.0,42,5,20–30%.,
26.11.2019 10:00,11.7,52,5,50%.,
26.11.2019 07:00,7.2,74,3,50%.,
26.11.2019 04:00,6.7,73,3,50%.,
26.11.2019 01:00,7.8,71,3,70 – 80%.,
25.11.2019 22:00,9.4,64,4,70 – 80%.,
25.11.2019 19:00,10.6,56,2,20–30%.,
25.11.2019 16:00,11.1,53,4,70 – 80%.,
25.11.2019 13:00,11.1,49,2,50%.,
25.11.2019 10:00,8.9,54,2,50%.,
25.11.2019 07:00,5.6,65,6,70 – 80%.,
25.11.2019 04:00,5.0,67,5,no clouds,
25.11.2019 01:00,5.6,65,7,no clouds,
24.11.2019 22:00,6.1,65,6,20–30%.,
24.11.2019 19:00,6.7,60,11,20–30%.,1.0
24.11.2019 16:00,6.1,76,10,100%.,1.0
24.11.2019 13:00,6.1,86,8,100%.,4.0
24.11.2019 10:00,8.3,90,9,100%.,1.0
24.11.2019 07:00,7.8,89,11,100%.,13.0
24.11.2019 04:00,6.7,89,7,100%.,6.0
24.11.2019 01:00,4.4,83,2,100%.,0.8
23.11.2019 22:00,6.1,51,0,100%.,Trace of precipitation
23.11.2019 19:00,6.7,41,3,100%.,
23.11.2019 16:00,7.2,35,4,100%.,
23.11.2019 13:00,6.7,37,2,70 – 80%.,
23.11.2019 10:00,3.9,50,4,70 – 80%.,
23.11.2019 07:00,2.2,52,4,20–30%.,
23.11.2019 04:00,2.8,50,6,no clouds,
23.11.2019 01:00,3.9,48,8,no clouds,
22.11.2019 22:00,5.6,47,11,no clouds,
22.11.2019 19:00,7.8,42,10,50%.,1.0
22.11.2019 16:00,8.9,56,12,70 – 80%.,1.0
22.11.2019 13:00,11.1,72,9,100%.,0.5
22.11.2019 10:00,11.1,59,4,100%.,
22.11.2019 07:00,9.4,61,4,70 – 80%.,Trace of precipitation
22.11.2019 04:00,9.4,56,5,100%.,Trace of precipitation
22.11.2019 01:00,10.0,48,5,100%.,
21.11.2019 22:00,10.6,48,4,100%.,
21.11.2019 19:00,11.1,47,4,70 – 80%.,
21.11.2019 16:00,11.7,40,3,70 – 80%.,
21.11.2019 13:00,11.1,43,4,20–30%.,
21.11.2019 10:00,7.2,56,5,20–30%.,
21.11.2019 07:00,4.4,68,0,20–30%.,
21.11.2019 04:00,5.0,60,2,20–30%.,
21.11.2019 01:00,5.6,58,5,20–30%.,
20.11.2019 22:00,6.1,58,5,50%.,
20.11.2019 19:00,7.2,56,8,70 – 80%.,
20.11.2019 16:00,8.9,46,9,70 – 80%.,
20.11.2019 13:00,7.2,58,6,70 – 80%.,
20.11.2019 10:00,5.6,68,8,70 – 80%.,
20.11.2019 07:00,5.6,68,6,100%.,
20.11.2019 04:00,6.1,71,4,100%.,
20.11.2019 01:00,6.1,71,4,100%.,
19.11.2019 22:00,7.2,58,4,70 – 80%.,
19.11.2019 19:00,7.8,61,4,70 – 80%.,
19.11.2019 16:00,8.3,61,3,100%.,
19.11.2019 13:00,8.9,63,5,70 – 80%.,
19.11.2019 10:00,7.8,73,4,50%.,
19.11.2019 07:00,6.1,82,0,100%.,4.0
19.11.2019 04:00,5.6,89,3,100%.,4.0
19.11.2019 01:00,5.0,93,2,100%.,10.0
18.11.2019 22:00,5.0,93,3,100%.,6.0
18.11.2019 19:00,5.0,86,5,100%.,2.0
18.11.2019 16:00,5.0,89,6,100%.,2.0
18.11.2019 13:00,5.6,85,7,100%.,Trace of precipitation
18.11.2019 10:00,5.0,82,6,100%.,Trace of precipitation
18.11.2019 07:00,3.9,86,6,100%.,0.3
18.11.2019 04:00,3.3,86,5,100%.,
18.11.2019 01:00,3.9,76,6,100%.,
17.11.2019 22:00,4.4,65,6,100%.,
17.11.2019 19:00,5.6,65,9,100%.,
17.11.2019 16:00,5.6,62,10,100%.,
17.11.2019 13:00,6.1,60,11,70 – 80%.,
17.11.2019 10:00,3.9,60,11,70 – 80%.,
17.11.2019 07:00,1.1,52,6,100%.,
17.11.2019 04:00,0.0,41,7,100%.,
17.11.2019 01:00,0.0,38,7,20–30%.,
16.11.2019 22:00,1.1,32,7,20–30%.,
16.11.2019 19:00,3.3,23,5,20–30%.,
16.11.2019 16:00,5.0,18,8,20–30%.,
16.11.2019 13:00,4.4,22,8,20–30%.,
16.11.2019 10:00,3.3,25,10,20–30%.,
16.11.2019 07:00,1.1,40,6,20–30%.,
16.11.2019 04:00,4.4,58,5,50%.,
16.11.2019 01:00,5.6,51,7,20–30%.,
15.11.2019 22:00,7.8,51,6,70 – 80%.,
15.11.2019 19:00,10.0,30,5,70 – 80%.,
15.11.2019 16:00,10.6,31,3,70 – 80%.,
15.11.2019 13:00,10.0,32,3,20–30%.,
15.11.2019 10:00,7.8,34,7,50%.,
15.11.2019 07:00,3.9,48,2,50%.,
15.11.2019 04:00,4.4,45,3,20–30%.,
15.11.2019 01:00,5.6,45,3,100%.,
14.11.2019 22:00,6.1,43,5,70 – 80%.,
14.11.2019 19:00,7.2,40,4,70 – 80%.,
14.11.2019 16:00,7.2,40,4,70 – 80%.,
14.11.2019 13:00,6.1,42,5,70 – 80%.,
14.11.2019 10:00,2.2,52,2,100%.,
14.11.2019 07:00,-1.1,47,2,70 – 80%.,
14.11.2019 04:00,-1.7,47,4,70 – 80%.,
14.11.2019 01:00,-1.1,39,2,70 – 80%.,
13.11.2019 22:00,-0.6,40,3,50%.,
13.11.2019 19:00,0.0,36,4,50%.,
13.11.2019 16:00,1.1,31,4,20–30%.,
13.11.2019 13:00,1.1,34,8,20–30%.,
13.11.2019 10:00,-1.7,49,11,20–30%.,
13.11.2019 07:00,-3.9,55,8,20–30%.,
13.11.2019 04:00,-3.3,53,8,no clouds,
13.11.2019 01:00,-2.8,51,11,20–30%.,
12.11.2019 22:00,-1.7,49,9,20–30%.,
12.11.2019 19:00,0.6,54,8,50%.,
12.11.2019 16:00,1.7,52,10,100%.,
12.11.2019 13:00,2.8,65,11,100%.,0.5
12.11.2019 10:00,5.0,79,8,100%.,0.3
12.11.2019 04:00,13.9,60,3,100%.,
12.11.2019 01:00,13.3,72,4,100%.,
11.11.2019 22:00,13.9,83,3,70 – 80%.,
11.11.2019 19:00,13.3,75,4,70 – 80%.,
11.11.2019 16:00,15.0,54,4,100%.,
11.11.2019 13:00,16.1,44,0,70 – 80%.,
11.11.2019 10:00,12.8,62,2,70 – 80%.,
11.11.2019 07:00,9.4,64,0,70 – 80%.,
11.11.2019 04:00,10.0,54,3,70 – 80%.,
11.11.2019 01:00,10.6,52,3,70 – 80%.,
10.11.2019 22:00,10.6,48,0,70 – 80%.,
10.11.2019 19:00,10.6,43,4,70 – 80%.,
10.11.2019 16:00,11.1,41,4,100%.,
10.11.2019 13:00,9.4,46,5,70 – 80%.,
10.11.2019 10:00,8.3,54,5,70 – 80%.,
10.11.2019 07:00,5.6,43,4,70 – 80%.,
10.11.2019 04:00,4.4,40,3,50%.,
10.11.2019 01:00,4.4,32,3,70 – 80%.,
09.11.2019 22:00,5.0,36,4,70 – 80%.,
09.11.2019 19:00,5.0,45,3,50%.,
09.11.2019 16:00,4.4,43,4,70 – 80%.,
09.11.2019 13:00,3.9,38,5,70 – 80%.,
09.11.2019 10:00,1.7,42,4,70 – 80%.,
09.11.2019 07:00,-1.1,56,2,20–30%.,
09.11.2019 04:00,-1.1,58,3,20–30%.,
09.11.2019 01:00,-0.6,56,6,70 – 80%.,
08.11.2019 22:00,0.6,49,7,20–30%.,
08.11.2019 19:00,2.2,44,7,20–30%.,
08.11.2019 16:00,3.9,38,10,20–30%.,
08.11.2019 13:00,4.4,40,11,50%.,
08.11.2019 10:00,3.3,55,10,50%.,
08.11.2019 07:00,1.7,61,8,20–30%.,
08.11.2019 04:00,2.8,52,7,20–30%.,
08.11.2019 01:00,5.0,65,8,70 – 80%.,1.0
07.11.2019 22:00,7.2,83,6,100%.,1.0
07.11.2019 19:00,10.6,83,5,100%.,1.0
07.11.2019 16:00,14.4,56,5,100%.,
07.11.2019 13:00,13.3,51,5,100%.,
07.11.2019 10:00,11.7,51,3,70 – 80%.,
07.11.2019 07:00,11.1,45,5,100%.,
07.11.2019 04:00,10.0,52,3,100%.,
07.11.2019 01:00,9.4,43,3,20–30%.,
06.11.2019 22:00,11.1,32,4,no clouds,
06.11.2019 19:00,12.2,28,4,no clouds,
06.11.2019 16:00,12.8,29,3,20–30%.,
06.11.2019 13:00,11.7,34,6,20–30%.,
06.11.2019 10:00,10.0,44,6,20–30%.,
06.11.2019 07:00,8.9,56,3,20–30%.,
06.11.2019 04:00,9.4,56,5,20–30%.,
06.11.2019 01:00,11.1,57,5,50%.,
05.11.2019 22:00,13.3,47,5,70 – 80%.,
05.11.2019 19:00,14.4,48,3,50%.,
05.11.2019 16:00,15.6,50,5,70 – 80%.,
05.11.2019 13:00,16.1,65,4,100%.,
05.11.2019 10:00,15.0,72,4,100%.,
05.11.2019 07:00,12.2,80,2,100%.,
05.11.2019 04:00,10.6,80,3,50%.,
05.11.2019 01:00,11.7,64,0,50%.,
04.11.2019 22:00,11.7,59,2,70 – 80%.,
04.11.2019 19:00,11.7,55,5,70 – 80%.,
04.11.2019 16:00,12.2,45,7,70 – 80%.,
04.11.2019 13:00,12.2,37,6,20–30%.,
04.11.2019 10:00,10.0,38,4,20–30%.,
04.11.2019 07:00,6.1,60,2,20–30%.,
04.11.2019 04:00,7.2,49,2,no clouds,
04.11.2019 01:00,7.2,48,3,no clouds,
03.11.2019 22:00,8.3,46,5,no clouds,
03.11.2019 19:00,10.0,39,7,20–30%.,
03.11.2019 16:00,11.1,38,6,70 – 80%.,
03.11.2019 13:00,10.6,39,4,70 – 80%.,
03.11.2019 10:00,8.3,52,5,20–30%.,
03.11.2019 07:00,6.7,53,4,20–30%.,
03.11.2019 04:00,7.2,56,6,no clouds,
03.11.2019 01:00,7.8,54,5,no clouds,
02.11.2019 22:00,9.4,59,7,100%.,
02.11.2019 19:00,8.9,68,2,70 – 80%.,
02.11.2019 16:00,9.4,59,5,70 – 80%.,
02.11.2019 13:00,10.0,46,4,50%.,
02.11.2019 10:00,7.2,56,3,20–30%.,
02.11.2019 07:00,5.0,60,3,20–30%.,
02.11.2019 04:00,4.4,63,2,no clouds,
02.11.2019 01:00,5.6,58,5,no clouds,
01.11.2019 22:00,7.2,52,6,no clouds,
01.11.2019 19:00,9.4,46,7,no clouds,
01.11.2019 16:00,12.2,38,6,no clouds,
01.11.2019 13:00,12.2,38,7,20–30%.,
01.11.2019 10:00,9.4,44,9,20–30%.,
01.11.2019 07:00,6.7,55,9,20–30%.,0.8
01.11.2019 04:00,8.9,63,7,50%.,0.8
01.11.2019 01:00,13.9,83,11,100%.,1.0
31.10.2019 22:00,18.9,96,12,100%.,
31.10.2019 19:00,18.9,96,10,100%.,Trace of precipitation
31.10.2019 16:00,19.4,93,10,100%.,
31.10.2019 13:00,18.9,93,7,100%.,3.0
31.10.2019 10:00,18.3,97,6,100%.,2.0
31.10.2019 07:00,16.7,100,6,100%.,5.0
31.10.2019 04:00,15.6,96,3,100%.,2.0
31.10.2019 01:00,15.6,100,4,100%.,2.0
30.10.2019 22:00,15.6,96,3,100%.,Trace of precipitation
30.10.2019 19:00,15.0,100,4,100%.,Trace of precipitation
30.10.2019 16:00,15.6,96,5,100%.,Trace of precipitation
30.10.2019 13:00,15.6,96,5,100%.,0.3
30.10.2019 10:00,15.0,96,4,100%.,0.3
30.10.2019 07:00,13.9,100,3,100%.,Trace of precipitation
30.10.2019 04:00,13.3,100,3,100%.,Trace of precipitation
30.10.2019 01:00,13.9,100,3,100%.,0.8
29.10.2019 22:00,13.9,100,2,100%.,0.8
29.10.2019 19:00,14.4,97,4,100%.,2.0
29.10.2019 16:00,13.9,96,5,100%.,0.8
29.10.2019 13:00,13.9,93,5,100%.,0.3
29.10.2019 10:00,13.3,90,4,100%.,Trace of precipitation
29.10.2019 07:00,11.7,89,5,100%.,Trace of precipitation
29.10.2019 04:00,11.7,89,4,70 – 80%.,
29.10.2019 01:00,12.2,87,4,100%.,
28.10.2019 22:00,13.3,81,6,70 – 80%.,
28.10.2019 19:00,13.9,78,5,70 – 80%.,
28.10.2019 16:00,16.1,63,3,70 – 80%.,
28.10.2019 13:00,16.1,60,5,70 – 80%.,
28.10.2019 10:00,15.6,67,5,50%.,
28.10.2019 07:00,14.4,70,3,50%.,
28.10.2019 04:00,14.4,72,4,no clouds,
28.10.2019 01:00,14.4,78,6,no clouds,
27.10.2019 22:00,14.4,90,2,20–30%.,
27.10.2019 19:00,16.7,86,4,70 – 80%.,0.8
27.10.2019 16:00,18.3,90,5,70 – 80%.,0.8
27.10.2019 13:00,18.9,90,8,100%.,34.0
